Time (s),Sound pressure level (dB)
171.5,-47.17874714214743
171.75,-57.27865271137754
172.0,-51.74875266960174
172.25,-54.503019290867975
172.5,-57.04806439352226
172.75,-49.74676035816403
173.0,-57.55040006289189
173.25,-48.641142789374584
173.5,-44.00998946497971
173.75,-56.29668312805759
174.0,-46.78499742711185
174.25,-52.766749211516796
174.5,-55.44028969228269
174.75,-55.74261568155576
175.0,-47.05208922425353
175.25,-43.343724264313586
175.5,-46.57077695779596
175.75,-54.93206566410878
176.0,-47.96794621752271
176.25,-51.052495865541374
176.5,-53.97524442033946
176.75,-53.494982127215906
177.0,-60.19218920556843
177.25,-49.442031995570375
177.5,-49.30289885912472
177.75,-57.10774380251595
178.0,-62.07088126902261
178.25,-52.590200387291134
178.5,-48.53792661351334
178.75,-58.89505618025809
179.0,-52.60685869857939
179.25,-52.51646570147264
179.5,-51.248083262297335
179.75,-58.55602696368362
180.0,-54.860445906084124
180.25,-51.0748617141261
180.5,-60.10757857919632
180.75,-52.70746571917396
181.0,-58.27738526874936
181.25,-62.805822357460706
181.5,-53.98225733170819
181.75,-59.34827538656371
182.0,-54.7732959744602
182.25,-57.867393430362874
182.5,-54.58284758671008
182.75,-46.64777429535256
183.0,-51.16003699939921
183.25,-57.75871326274707
183.5,-49.28735682080021
183.75,-68.63800186762124
184.0,-55.59469595930648
184.25,-50.082677748556655
184.5,-56.708531070348485
184.75,-54.64798980600222
185.0,-46.4824446317373
185.25,-52.49134178882899
185.5,-51.13986226405251
185.75,-49.97271711571452
186.0,-62.599417476721385
186.25,-57.55959265571803
186.5,-52.27472926311561
186.75,-48.364064720377364
187.0,-57.39589506168339
187.25,-52.72828248653547
187.5,-56.60489212860538
187.75,-57.891922331248246
188.0,-56.11360760195114
188.25,-53.109307757729276
188.5,-51.53885757585941
188.75,-50.54550762050065
189.0,-50.954054491265126
189.25,-50.04873818089686
189.5,-53.07944285093721
189.75,-56.69435942049889
190.0,-50.57541388342541
190.25,-56.28809467112437
190.5,-46.39244601157587
190.75,-49.53546610141819
191.0,-54.7130400052567
191.25,-57.19921634953205
191.5,-54.10789590503463
191.75,-46.81344568134435
192.0,-56.042081609084526
192.25,-61.83375241360876
192.5,-44.65291665429291
192.75,-58.09387931776146
193.0,-59.917457394297486
193.25,-53.7705701599826
193.5,-53.98556340365839
193.75,-47.80525115823213
194.0,-51.924237374256705
194.25,-51.537701101854076
194.5,-53.27643234643378
194.75,-51.890761858994054
195.0,-46.13292093697965
195.25,-52.98343918360703
195.5,-51.51345167651147
195.75,-57.283435994528176
196.0,-60.5895184649142
196.25,-52.10887352278991
196.5,-54.185584334597394
196.75,-53.37067591168217
197.0,-50.43979421860209
197.25,-51.790186193169134
197.5,-45.43306577249038
197.75,-52.077497333070625
198.0,-56.6589114819409
198.25,-54.34934647596255
198.5,-51.7097598185912
198.75,-54.30115068216076
199.0,-52.96907900039015
199.25,-55.83194188076651
199.5,-50.370323435646384
199.75,-52.299021734162444
200.0,-54.32411065668516
200.25,-55.18899862294764
200.5,-51.283026808096906
200.75,-49.04634980615293
201.0,-61.07255102399936
201.25,-61.62690914937349
201.5,-51.63412915380167
201.75,-52.114399762902096
202.0,-54.13352356043884
202.25,-62.307520341113715
202.5,-51.463520853937275
202.75,-50.98457476711435
203.0,-53.204596274002064
203.25,-47.353758541268654
203.5,-53.854385581003875
203.75,-56.50132452180873
204.0,-51.838584305792004
204.25,-54.8218075598543
204.5,-53.90290836505593
204.75,-52.35472437827003
205.0,-52.74210152119711
205.25,-52.69998000924863
205.5,-56.2636889982586
205.75,-43.574949073680315
206.0,-57.743791934783765
206.25,-49.50522075477871
206.5,-62.964285201328224
206.75,-50.531066396283556
207.0,-46.97113597482556
207.25,-54.11390749556666
207.5,-52.391772703528815
207.75,-57.200606619824576
208.0,-60.41947778213592
208.25,-41.62803006635106
208.5,-53.41555716634242
208.75,-45.61398204892861
209.0,-50.433587424024346
209.25,-55.03219738652743
209.5,-53.838077932569355
209.75,-49.71783337692614
210.0,-55.25294175535252
210.25,-65.63625109560124
210.5,-50.43695886931483
210.75,-48.535516058642166
211.0,-55.40339602122547
211.25,-55.042545939609056
211.5,-55.86027996868625
211.75,-49.79695003791986
212.0,-50.925620621455764
212.25,-58.14085357590906
212.5,-53.21192663935414
212.75,-48.902435050603394
213.0,-59.81622308656067
213.25,-55.29551092285669
213.5,-51.157606309634545
213.75,-47.33003737018039
214.0,-48.11093818305199
214.25,-52.911683910209454
214.5,-53.718320163029325
214.75,-57.98474895927471
215.0,-49.91822567199101
215.25,-51.58590123818495
215.5,-54.95905986722882
215.75,-43.823726227269745
216.0,-49.9901776429865
216.25,-51.456570586341336
216.5,-59.74594264361706
216.75,-50.460367093253744
217.0,-53.03350961804837
217.25,-49.82634367590026
217.5,-59.06212773743022
217.75,-43.85263859629886
218.0,-51.431196608221015
218.25,-57.10287272108918
218.5,-45.704050077440144
218.75,-57.26715581709075
219.0,-55.29381112637267
219.25,-46.53148211188764
219.5,-49.11841498807196
219.75,-58.231346411821235
220.0,-51.45562005457841
220.25,-49.99382494533572
220.5,-53.850672168708954
220.75,-53.439484435617146
221.0,-49.33663428359604
221.25,-49.9966705023328
221.5,-47.9052583138454
221.75,-56.749292678525435
222.0,-54.29127558875846
222.25,-60.229851370322926
222.5,-44.794145688809515
222.75,-52.14835112927498
223.0,-58.559567182123274
223.25,-54.85395530740605
223.5,-55.342102260082136
223.75,-50.51749107233641
224.0,-59.823427820972384
224.25,-57.963662340043854
224.5,-54.50053042894164
224.75,-52.537031510816796
225.0,-51.344378233893416
225.25,-59.512943141913944
225.5,-51.27758381447467
225.75,-48.61496084350593
226.0,-52.885290327778634
226.25,-52.679755410586246
226.5,-52.74500835537697
226.75,-59.64289314436426
227.0,-60.28485478949327
227.25,-52.64892805909917
227.5,-48.026879424245635
227.75,-62.21093978209559
228.0,-53.66396395760748
228.25,-48.37766501946159
228.5,-51.03093091184666
228.75,-45.602602863617705
229.0,-47.86510002733057
229.25,-51.5377103682695
229.5,-57.792473541959
229.75,-49.11396468408167
230.0,-57.90252686416399
230.25,-56.91661090620315
230.5,-58.42700451065718
230.75,-48.021625162276784
231.0,-57.53475670334475
231.25,-58.593590825058
231.5,-52.401691624860845
231.75,-53.91878054251307
232.0,-57.56368805670785
232.25,-56.49264042412231
232.5,-52.272723750466966
232.75,-55.64506924663528
233.0,-61.12612567990096
233.25,-52.4166974813067
233.5,-61.7928103753583
233.75,-54.42237185392233
234.0,-55.420634801780395
234.25,-45.36543833349374
234.5,-48.81357286434461
234.75,-45.811989598698524
235.0,-52.11546184118779
235.25,-46.789229924806605
235.5,-51.032490669863726
235.75,-61.65036812314079
236.0,-54.332800379027994
236.25,-56.10871604822525
236.5,-49.410359042412125
236.75,-55.32188071117705
237.0,-63.38663646559022
237.25,-58.02905317982307
237.5,-55.55685827476499
237.75,-49.495211815925146
238.0,-52.116540166608026
238.25,-58.60884721321605
238.5,-57.3940156294572
238.75,-47.953184095893306
239.0,-57.61824201410562
239.25,-52.98678004943905
239.5,-53.71979108333043
239.75,-55.28235078491269
240.0,-49.77899468872265
240.25,-54.85277848475232
240.5,-56.244820670094136
240.75,-49.1856414416727
241.0,-47.997770981394495
241.25,-47.46832377871495
241.5,-54.641536739532754
241.75,-56.54556989070984
242.0,-57.72859213418331
242.25,-46.38145387950639
242.5,-49.74649566327101
242.75,-50.65906032910765
243.0,-48.07368932527396
243.25,-51.15902921993012
243.5,-52.72847824710727
243.75,-50.875989856334996
244.0,-59.755480054405595
244.25,-56.714623648634266
244.5,-56.33722572285235
244.75,-49.019203844459334
245.0,-49.82827895422094
245.25,-62.464460937109266
245.5,-51.858462191249714
245.75,-56.90989509930233
246.0,-42.52293792033403
246.25,-51.13225948007036
246.5,-42.03447806863213
246.75,-55.28979290954689
247.0,-50.386870552673294
247.25,-49.581555035595535
247.5,-56.06919029008734
247.75,-49.27559907866863
248.0,-55.10202933580218
248.25,-56.226654538078634
248.5,-55.38993748469892
248.75,-49.084053850738634
249.0,-53.55105007498009
249.25,-52.95212638849296
249.5,-48.73050667439122
249.75,-59.84667936606553
250.0,-50.4808598026939
250.25,-44.2380640244793
250.5,-53.47439932474926
250.75,-55.19325234563414
251.0,-50.93410853084844
251.25,-50.949325509339864
251.5,-62.570865802294094
251.75,-54.35034866254564
252.0,-52.67585651007704
252.25,-46.188036060902505
252.5,-52.66148898038085
252.75,-54.25363239811987
253.0,-58.00436307498292
253.25,-47.264175143827536
253.5,-50.04810965484677
253.75,-53.375869934689575
254.0,-62.49394024163903
254.25,-54.93551303014024
254.5,-55.537449012752134
254.75,-46.74182348111257
255.0,-47.52191176470639
255.25,-49.75572761562122
255.5,-55.54316708338368
255.75,-54.472104489778474
256.0,-52.623678766065055
256.25,-57.03163231443265
256.5,-46.65727310222826
256.75,-53.72215496757835
