"Time (s)","Sound pressure level (dB)"
5.171656320E2,-3.697781055E1
5.173659526E2,-3.717192396E1
5.175660292E2,-4.101032393E1
5.177666837E2,-4.382304968E1
5.179660348E2,-4.086154915E1
5.181597329E2,-3.836450219E1
5.183623422E2,-3.824286019E1
5.185663098E2,-3.062511322E1
5.187663566E2,-3.901947488E1
5.189668600E2,-4.006595041E1
5.191656493E2,-4.058719261E1
5.193658157E2,-4.055336788E1
5.195657656E2,-4.126019972E1
5.197656068E2,-4.359905384E1
5.199665468E2,-4.253721070E1
5.201659396E2,-3.672644724E1
5.203656619E2,-4.480254941E1
5.205661976E2,-4.430733536E1
5.207658585E2,-4.258629660E1
5.209660736E2,-4.605311510E1
5.211660612E2,-4.604016788E1
5.213669329E2,-4.614540388E1
5.215661944E2,-4.637669808E1
5.217666178E2,-4.616321380E1
5.219660541E2,-2.881364495E1
5.221658034E2,-4.328815486E1
5.223657864E2,-4.639416128E1
5.225659720E2,-4.753661641E1
5.227655236E2,-4.543859122E1
5.229676000E2,-4.357756947E1
5.231647508E2,-4.584695259E1
5.233660098E2,-3.147902056E1
5.235660403E2,-3.845074200E1
5.237658415E2,-3.050112040E1
5.239657130E2,-2.888195018E1
5.241657301E2,-4.259269675E1
5.243664190E2,-2.600082355E1
5.245658593E2,-3.918136730E1
5.247658464E2,-3.978816157E1
5.249664618E2,-3.587227902E1
5.251799400E2,-2.834849634E1
5.253665770E2,-2.964641161E1
5.255665553E2,-4.673644730E1
5.257673434E2,-2.447985636E1
5.259665621E2,-3.552241978E1
5.261656105E2,-4.191368523E1
5.263658843E2,-3.632638808E1
5.265660502E2,-5.129846712E1
5.267674073E2,-4.139364494E1
5.269664253E2,-3.730547823E1
5.271673196E2,-4.433367275E1
5.273670720E2,-4.523281109E1
5.275615662E2,-4.329806670E1
5.277648412E2,-3.217637900E1
5.279668704E2,-4.749191416E1
5.281666742E2,-4.023860553E1
5.283653960E2,-4.567660068E1
5.285581427E2,-4.091124323E1
5.287656203E2,-3.742057873E1
5.289624110E2,-3.763966383E1
5.291577296E2,-2.851290875E1
5.293606920E2,-3.613023548E1
5.295576627E2,-4.924327231E1
5.297587579E2,-4.533172305E1
5.299656387E2,-4.552711561E1
5.301653784E2,-4.508286974E1
5.303634424E2,-4.477460874E1
5.305583495E2,-3.792337102E1
5.307659668E2,-4.677757439E1
5.309654723E2,-4.483949393E1
5.311581172E2,-4.337133988E1
5.313618516E2,-4.315842677E1
5.315662739E2,-4.063270611E1
5.317660560E2,-4.517979811E1
5.319657517E2,-4.631512158E1
5.321660667E2,-4.606716147E1
5.323670539E2,-4.983280113E1
5.325661751E2,-5.263844865E1
5.327655923E2,-4.958054064E1
5.329658453E2,-5.071324754E1
5.331752363E2,-5.213549913E1
5.333668766E2,-4.394123401E1
5.335655514E2,-4.480618473E1
5.337654391E2,-3.902039497E1
5.339657388E2,-4.971154621E1
5.341654704E2,-4.085793574E1
5.343659295E2,-4.617193540E1
5.345654530E2,-4.761801591E1
5.347659673E2,-3.788741716E1
5.349658298E2,-4.900237596E1
5.351610720E2,-3.636092420E1
5.353617547E2,-3.095205832E1
5.355632904E2,-3.307877830E1
5.357659222E2,-3.935783943E1
5.359657772E2,-4.634069411E1
5.361585741E2,-4.822835313E1
5.363600763E2,-4.520951684E1
5.365577868E2,-4.547132384E1
5.367622680E2,-5.075364160E1
5.369653850E2,-4.655742436E1
5.371656686E2,-3.798377769E1
5.373660064E2,-3.866721835E1
5.375672507E2,-4.781900356E1
5.377654391E2,-4.852045124E1
5.379665203E2,-4.074719779E1
5.381661667E2,-4.493143301E1
5.383655723E2,-4.909408630E1
5.385660723E2,-4.882766563E1
5.387662901E2,-5.108282204E1
5.389658154E2,-3.486633485E1
5.391640366E2,-5.383473886E1
5.393658836E2,-5.169103946E1
5.395655787E2,-5.150353971E1
5.397665984E2,-4.367425669E1
5.399658289E2,-4.321365156E1
5.401657938E2,-4.629190414E1
5.403660222E2,-4.976246537E1
5.405660154E2,-2.871327465E1
5.407656541E2,-3.522442087E1
5.409662511E2,-4.051208309E1
5.411659206E2,-4.468485132E1
5.413668803E2,-5.123762295E1
5.415656160E2,-4.843678520E1
5.417655948E2,-4.332637335E1
5.419652670E2,-2.146864062E1
5.421662323E2,-3.938124911E1
5.423658009E2,-3.344194801E1
5.425659542E2,-4.587493640E1
5.427658836E2,-4.580816065E1
5.429659055E2,-4.941964445E1
5.431666606E2,-5.059578355E1
5.433658231E2,-4.683658052E1
5.435658569E2,-4.047057496E1
5.437658342E2,-4.217453532E1
5.439661113E2,-4.832505248E1
5.441652049E2,-3.909762851E1
5.443653176E2,-4.686964879E1
5.445657662E2,-4.786708407E1
5.447663339E2,-5.185680124E1
5.449655729E2,-3.424188991E1
5.451668138E2,-4.660154369E1
5.453657425E2,-3.720699908E1
5.455662003E2,-4.947802684E1
5.457652157E2,-4.836079871E1
5.459619370E2,-4.617258933E1
5.461660843E2,-4.321535668E1
5.463635729E2,-3.638467492E1
5.465612871E2,-3.989748296E1
5.467654270E2,-5.062507993E1
5.469645366E2,-5.277474905E1
5.471588154E2,-5.100610066E1
5.472654108E2,-3.798265848E1
5.474670033E2,-3.232481664E1
5.476660636E2,-4.656384617E1
5.478660138E2,-2.625339017E1
5.480661347E2,-4.608016869E1
5.482655865E2,-4.623967656E1
5.484657610E2,-4.672575707E1
5.486655716E2,-4.603219779E1
5.488656895E2,-5.178079173E1
5.490670403E2,-4.469439788E1
5.492654981E2,-4.587300493E1
5.494665329E2,-5.440405485E1
5.496656262E2,-2.479753970E1
5.498654505E2,-3.742938755E1
5.500661806E2,-2.271054855E1
5.502656253E2,-3.436665071E1
5.504668831E2,-2.545854437E1
5.506653043E2,-2.486858171E1
5.508656030E2,-4.141222301E1
5.510677997E2,-4.106679591E1
5.512630867E2,-4.902093337E1
5.514606676E2,-3.654132499E1
5.516602763E2,-2.759295664E1
5.518603963E2,-2.506751578E1
5.520604406E2,-3.923528753E1
5.522661747E2,-4.188951249E1
5.524617587E2,-2.438655145E1
5.526663942E2,-3.472466914E1
5.528653735E2,-2.321306433E1
5.530666788E2,-3.529933200E1
5.532660431E2,-3.390957823E1
5.534659203E2,-4.412501854E1
5.536562901E2,-3.514640597E1
5.538583597E2,-4.818104501E1
5.540572600E2,-3.751670920E1
5.542626474E2,-4.034535966E1
5.544615228E2,-4.608642307E1
5.546661093E2,-3.575538305E1
5.548656040E2,-2.523733497E1
5.550656213E2,-4.502191679E1
5.552657816E2,-3.118430334E1
5.554661116E2,-3.715721818E1
5.556654185E2,-2.502264998E1
5.558651418E2,-3.466411167E1
5.560664793E2,-3.540859434E1
5.562665203E2,-2.680000973E1
5.564657276E2,-2.479678530E1
5.566655917E2,-2.499340587E1
5.568653547E2,-2.149393143E1
5.570659850E2,-2.605648898E1
5.572668188E2,-2.432061916E1
5.574656853E2,-3.530850248E1
5.576658169E2,-3.731112661E1
5.578657950E2,-2.962203112E1
5.580662510E2,-4.613974581E1
5.582660154E2,-3.823209654E1
5.584658430E2,-2.494743440E1
